TIME_UNITS,Gateway Distance Grd:Goddard,Gateway Distance Grd:Guam,Gateway Distance Grd:WhiteSands,Gateway Distance TDRS13,Gateway Distance TDRS3,Gateway Distance TDRS5,Gateway Distance TDRS7
0,408295.9902,404630.5198,406000.8554,447748.6818,432951.7606,367729.2518,421956.0794
30,408309.7098,404626.0464,406014.4742,447778.5969,433026.0117,367738.1946,421877.3229
60,408323.4273,404621.591,406028.1021,447808.3576,433100.1596,367747.3437,421798.5033
90,408337.1427,404617.1538,406041.7391,447837.9638,433174.2038,367756.6991,421719.621
120,408350.856,404612.7348,406055.385,447867.4153,433248.1442,367766.2607,421640.6762
150,408364.5671,404608.3339,406069.0399,447896.7122,433321.9805,367776.0285,421561.6693
180,408378.276,404603.9513,406082.7037,447925.8543,433395.7125,367786.0024,421482.6007
210,408391.9827,404599.587,406096.3763,447954.8416,433469.3398,367796.1826,421403.4706
240,408405.687,404595.241,406110.0578,447983.6739,433542.8622,367806.5688,421324.2794
270,408419.389,404590.9134,406123.748,448012.3512,433616.2795,367817.161,421245.0275
300,408433.0886,404586.6041,406137.447,448040.8733,433689.5914,367827.9593,421165.7151
330,408446.7858,404582.3134,406151.1546,448069.2402,433762.7975,367838.9635,421086.3426
360,408460.4805,404578.041,406164.8709,448097.4518,433835.8978,367850.1737,421006.9104
390,408474.1727,404573.7872,406178.5957,448125.5081,433908.8919,367861.5897,420927.4187
420,408487.8623,404569.552,406192.3291,448153.4088,433981.7795,367873.2116,420847.868
450,408501.5494,404565.3353,406206.071,448181.1541,434054.5604,367885.0392,420768.2585
480,408515.2337,404561.1373,406219.8214,448208.7436,434127.2344,367897.0726,420688.5905
510,408528.9154,404556.9579,406233.5802,448236.1775,434199.8012,367909.3117,420608.8645
540,408542.5944,404552.7972,406247.3474,448263.4555,434272.2604,367921.7565,420529.0808
570,408556.2706,404548.6553,406261.1229,448290.5777,434344.612,367934.4068,420449.2396
600,408569.9439,404544.5321,406274.9068,448317.5439,434416.8556,367947.2626,420369.3413
630,408583.6144,404540.4278,406288.6988,448344.3541,434488.9909,367960.3239,420289.3864
660,408597.282,404536.3423,406302.4991,448371.0081,434561.0177,367973.5907,420209.375
690,408610.9467,404532.2757,406316.3075,448397.5059,434632.9358,367987.0628,420129.3076
720,408624.6084,404528.228,406330.124,448423.8474,434704.7449,368000.7402,420049.1845
750,408638.267,404524.1993,406343.9486,448450.0326,434776.4447,368014.6229,419969.006
780,408651.9226,404520.1896,406357.7812,448476.0613,434848.0351,368028.7107,419888.7725
810,408665.575,404516.1989,406371.6218,448501.9335,434919.5156,368043.0037,419808.4843
840,408679.2243,404512.2273,406385.4704,448527.6491,434990.8862,368057.5017,419728.1417
870,408692.8704,404508.2749,406399.3268,448553.208,435062.1465,368072.2047,419647.7452
900,408706.5132,404504.3415,406413.1911,448578.6101,435133.2963,368087.1126,419567.2949
930,408720.1528,404500.4274,406427.0632,448603.8554,435204.3353,368102.2254,419486.7914
960,408733.789,404496.5324,406440.9431,448628.9438,435275.2633,368117.543,419406.2349
990,408747.4219,404492.6568,406454.8307,448653.8753,435346.0801,368133.0653,419325.6258
1020,408761.0513,404488.8004,406468.7259,448678.6496,435416.7854,368148.7922,419244.9643
1050,408774.6773,404484.9633,406482.6288,448703.2669,435487.3789,368164.7237,419164.251
1080,408788.2998,404481.1456,406496.5393,448727.7269,435557.8604,368180.8598,419083.486
1110,408801.9187,404477.3474,406510.4573,448752.0297,435628.2297,368197.2002,419002.6698
1140,408815.5341,404473.5685,406524.3828,448776.1751,435698.4864,368213.745,418921.8027
1170,408829.1458,404469.8092,406538.3158,448800.1631,435768.6305,368230.4941,418840.8851
1200,408842.7539,404466.0693,406552.2561,448823.9936,435838.6615,368247.4473,418759.9172
1230,408856.3582,404462.349,406566.2039,448847.6665,435908.5793,368264.6047,418678.8995
1260,408869.9588,404458.6482,406580.1589,448871.1818,435978.3836,368281.9661,418597.8322
1290,408883.5556,404454.9671,406594.1212,448894.5394,436048.0743,368299.5315,418516.7158
1320,408897.1485,404451.3057,406608.0908,448917.7392,436117.6509,368317.3007,418435.5506
1350,408910.7376,404447.6639,406622.0675,448940.7812,436187.1134,368335.2737,418354.3369
1380,408924.3228,404444.0418,406636.0514,448963.6653,436256.4614,368353.4504,418273.0751
1410,408937.9039,404440.4395,406650.0424,448986.3914,436325.6947,368371.8307,418191.7656
1440,408951.4811,404436.857,406664.0404,449008.9595,436394.813,368390.4146,418110.4086
1470,408965.0542,404433.2944,406678.0454,449031.3695,436463.8163,368409.2018,418029.0046
1500,408978.6232,404429.7516,406692.0574,449053.6213,436532.704,368428.1924,417947.5538
1530,408992.1881,404426.2286,406706.0763,449075.7148,436601.4762,368447.3862,417866.0567
1560,409005.7488,404422.7257,406720.1021,449097.6501,436670.1324,368466.7832,417784.5136
1590,409019.3053,404419.2426,406734.1347,449119.427,436738.6726,368486.3833,417702.9249
1620,409032.8575,404415.7796,406748.1741,449141.0454,436807.0963,368506.1863,417621.2908
1650,409046.4055,404412.3367,406762.2202,449162.5054,436875.4034,368526.1922,417539.6118
1680,409059.949,404408.9138,406776.2731,449183.8068,436943.5937,368546.4008,417457.8882
1710,409073.4882,404405.511,406790.3325,449204.9496,437011.6669,368566.8121,417376.1204
1740,409087.023,404402.1283,406804.3986,449225.9337,437079.6228,368587.4259,417294.3087
1770,409100.5532,404398.7658,406818.4712,449246.759,437147.4612,368608.2423,417212.4534
1800,409114.079,404395.4235,406832.5504,449267.4256,437215.1817,368629.2609,417130.555
1830,409127.6002,404392.1015,406846.636,449287.9333,437282.7842,368650.4819,417048.6138
1860,409141.1168,404388.7997,406860.728,449308.2821,437350.2685,368671.9049,416966.6301
1890,409154.6288,404385.5183,406874.8264,449328.4719,437417.6343,368693.53,416884.6043
1920,409168.136,404382.2572,406888.9311,449348.5026,437484.8813,368715.3571,416802.5368
1950,409181.6386,404379.0164,406903.0422,449368.3743,437552.0094,368737.386,416720.4279
1980,409195.1363,404375.7961,406917.1594,449388.0868,437619.0183,368759.6165,416638.278
2010,409208.6293,404372.5962,406931.2829,449407.6401,437685.9078,368782.0487,416556.0874
2040,409222.1174,404369.4168,406945.4125,449427.0341,437752.6776,368804.6824,416473.8564
2070,409235.6006,404366.2579,406959.5482,449446.2688,437819.3275,368827.5174,416391.5856
2100,409249.0789,404363.1196,406973.69,449465.3442,437885.8573,368850.5537,416309.2751
2130,409262.5522,404360.0018,406987.8378,449484.2601,437952.2667,368873.7911,416226.9255
2160,409276.0205,404356.9046,407001.9916,449503.0165,438018.5556,368897.2295,416144.5369
2190,409289.4837,404353.8281,407016.1512,449521.6134,438084.7237,368920.8689,416062.1099
2220,409302.9418,404350.7722,407030.3168,449540.0507,438150.7707,368944.709,415979.6447
2250,409316.3948,404347.7371,407044.4882,449558.3283,438216.6965,368968.7498,415897.1417
2280,409329.8426,404344.7227,407058.6654,449576.4462,438282.5008,368992.9911,415814.6013
2310,409343.2851,404341.729,407072.8483,449594.4044,438348.1833,369017.4328,415732.0238
2340,409356.7224,404338.7562,407087.0369,449612.2028,438413.7439,369042.0748,415649.4097
2370,409370.1544,404335.8042,407101.2312,449629.8414,438479.1824,369066.917,415566.7592
2400,409383.581,404332.8731,407115.4311,449647.32,438544.4984,369091.9592,415484.0728
2430,409397.0022,404329.9628,407129.6365,449664.6387,438609.6919,369117.2013,415401.3507
2460,409410.418,404327.0735,407143.8475,449681.7974,438674.7625,369142.6432,415318.5935
2490,409423.8283,404324.2052,407158.0639,449698.7961,438739.71,369168.2847,415235.8013
2520,409437.2331,404321.3579,407172.2857,449715.6347,438804.5342,369194.1257,415152.9747
2550,409450.6323,404318.5315,407186.513,449732.3131,438869.2349,369220.1661,415070.1139
2580,409464.0259,404315.7263,407200.7455,449748.8313,438933.8119,369246.4057,414987.2193
2610,409477.4139,404312.9421,407214.9834,449765.1893,438998.2649,369272.8445,414904.2913
2640,409490.7962,404310.1791,407229.2264,449781.3871,439062.5937,369299.4822,414821.3303
2670,409504.1727,404307.4372,407243.4747,449797.4245,439126.7982,369326.3187,414738.3366
2700,409517.5435,404304.7165,407257.7281,449813.3015,439190.878,369353.3539,414655.3106
2730,409530.9084,404302.017,407271.9867,449829.0181,439254.8329,369380.5877,414572.2527
2760,409544.2676,404299.3388,407286.2502,449844.5743,439318.6629,369408.0199,414489.1632
2790,409557.6208,404296.6818,407300.5188,449859.97,439382.3675,369435.6503,414406.0425
2820,409570.9681,404294.0462,407314.7924,449875.2051,439445.9466,369463.4789,414322.891
2850,409584.3094,404291.4319,407329.0708,449890.2797,439509.4,369491.5054,414239.7091
2880,409597.6447,404288.8389,407343.3542,449905.1936,439572.7275,369519.7298,414156.497
2910,409610.9739,404286.2674,407357.6424,449919.9469,439635.9288,369548.1518,414073.2552
2940,409624.297,404283.7173,407371.9353,449934.5394,439699.0038,369576.7713,413989.9841
2970,409637.614,404281.1887,407386.233,449948.9713,439761.9521,369605.5883,413906.684
3000,409650.9248,404278.6815,407400.5354,449963.2423,439824.7737,369634.6024,413823.3554
3030,409664.2294,404276.1959,407414.8424,449977.3525,439887.4683,369663.8137,413739.9984
3060,409677.5277,404273.7318,407429.154,449991.3019,439950.0356,369693.2218,413656.6137
3090,409690.8197,404271.2893,407443.4702,450005.0903,440012.4755,369722.8268,413573.2014
3120,409704.1054,404268.8684,407457.7908,450018.7179,440074.7877,369752.6283,413489.7621
3150,409717.3846,404266.4692,407472.116,450032.1844,440136.9721,369782.6263,413406.296
3180,409730.6575,404264.0916,407486.4455,450045.49,440199.0284,369812.8206,413322.8035
3210,409743.9238,404261.7357,407500.7794,450058.6345,440260.9564,369843.211,413239.285
3240,409757.1837,404259.4016,407515.1176,450071.6179,440322.7559,369873.7974,413155.741
3270,409770.437,404257.0892,407529.4601,450084.4403,440384.4266,369904.5796,413072.1717
3300,409783.6837,404254.7986,407543.8069,450097.1014,440445.9685,369935.5574,412988.5775
3330,409796.9238,404252.5298,407558.1578,450109.6014,440507.3812,369966.7307,412904.9589
3360,409810.1572,404250.2829,407572.5128,450121.9402,440568.6646,369998.0994,412821.3161
3390,409823.3838,404248.0578,407586.8719,450134.1178,440629.8184,370029.6632,412737.6496
3420,409836.6038,404245.8547,407601.2351,450146.1341,440690.8425,370061.422,412653.9598
3450,409849.8169,404243.6735,407615.6023,450157.989,440751.7366,370093.3756,412570.247
3480,409863.0232,404241.5142,407629.9734,450169.6827,440812.5005,370125.5239,412486.5116
3510,409876.2226,404239.3769,407644.3484,450181.215,440873.1341,370157.8666,412402.7539
3540,409889.4151,404237.2617,407658.7273,450192.5858,440933.637,370190.4036,412318.9744
3570,409902.6006,404235.1685,407673.11,450203.7953,440994.0092,370223.1348,412235.1735
3600,409915.7791,404233.0974,407687.4964,450214.8433,441054.2504,370256.0599,412151.3514
3630,409928.9506,404231.0484,407701.8866,450225.7298,441114.3603,370289.1788,412067.5087
3660,409942.115,404229.0215,407716.2804,450236.4548,441174.3389,370322.4914,411983.6456
3690,409955.2723,404227.0168,407730.6779,450247.0183,441234.1858,370355.9973,411899.7626
3720,409968.4224,404225.0342,407745.0789,450257.4202,441293.901,370389.6965,411815.86
3750,409981.5653,404223.0739,407759.4835,450267.6606,441353.4841,370423.5888,411731.9383
3780,409994.701,404221.1358,407773.8916,450277.7393,441412.935,370457.6739,411647.9977
3810,410007.8294,404219.22,407788.3031,450287.6564,441472.2535,370491.9518,411564.0387
3840,410020.9504,404217.3265,407802.7179,450297.4118,441531.4394,370526.4221,411480.0617
3870,410034.0641,404215.4553,407817.1362,450307.0056,441590.4924,370561.0848,411396.067
3900,410047.1704,404213.6065,407831.5577,450316.4376,441649.4124,370595.9397,411312.0551
3930,410060.2693,404211.7801,407845.9825,450325.7079,441708.1992,370630.9865,411228.0262
3960,410073.3606,404209.976,407860.4105,450334.8165,441766.8526,370666.2251,411143.9809
3990,410086.4444,404208.1944,407874.8416,450343.7633,441825.3724,370701.6553,411059.9194
4020,410099.5207,404206.4353,407889.2759,450352.5483,441883.7584,370737.2769,410975.8422
4050,410112.5894,404204.6986,407903.7132,450361.1715,441942.0103,370773.0898,410891.7496
4080,410125.6504,404202.9845,407918.1536,450369.6328,442000.128,370809.0936,410807.6421
4110,410138.7037,404201.2929,407932.5969,450377.9323,442058.1114,370845.2882,410723.52
4140,410151.7493,404199.6238,407947.0431,450386.07,442115.9601,370881.6735,410639.3837
4170,410164.7871,404197.9774,407961.4922,450394.0457,442173.674,370918.2492,410555.2335
4200,410177.8171,404196.3535,407975.9442,450401.8595,442231.253,370955.0152,410471.07
4230,410190.8393,404194.7524,407990.3989,450409.5115,442288.6967,370991.9711,410386.8934
4260,410203.8536,404193.1739,408004.8564,450417.0014,442346.0051,371029.117,410302.7041
4290,410216.86,404191.6181,408019.3166,450424.3294,442403.1779,371066.4524,410218.5026
4320,410229.8584,404190.085,408033.7794,450431.4955,442460.215,371103.9774,410134.2892
4350,410242.8487,404188.5746,408048.2448,450438.4995,442517.1161,371141.6915,410050.0643
4380,410255.8311,404187.0871,408062.7128,450445.3416,442573.881,371179.5947,409965.8283
4410,410268.8054,404185.6223,408077.1833,450452.0216,442630.5096,371217.6867,409881.5816
4440,410281.7715,404184.1804,408091.6562,450458.5396,442687.0017,371255.9673,409797.3245
4470,410294.7295,404182.7613,408106.1316,450464.8956,442743.3571,371294.4364,409713.0575
4500,410307.6792,404181.3651,408120.6093,450471.0895,442799.5755,371333.0937,409628.781
4530,410320.6207,404179.9918,408135.0893,450477.1214,442855.6568,371371.939,409544.4953
4560,410333.554,404178.6414,408149.5716,450482.9911,442911.6009,371410.972,409460.2009
4590,410346.4789,404177.314,408164.0561,450488.6988,442967.4075,371450.1927,409375.898
4620,410359.3954,404176.0095,408178.5428,450494.2444,443023.0764,371489.6008,409291.5872
4650,410372.3036,404174.7281,408193.0316,450499.6279,443078.6075,371529.196,409207.2688
4680,410385.2033,404173.4697,408207.5226,450504.8492,443134.0005,371568.9781,409122.9432
4710,410398.0945,404172.2343,408222.0155,450509.9085,443189.2554,371608.947,409038.6107
4740,410410.9772,404171.022,408236.5105,450514.8056,443244.3718,371649.1024,408954.2718
4770,410423.8514,404169.8328,408251.0073,450519.5406,443299.3496,371689.4441,408869.9269
4800,410436.7169,404168.6667,408265.5061,450524.1134,443354.1886,371729.9719,408785.5764
4830,410449.5739,404167.5238,408280.0068,450528.524,443408.8887,371770.6855,408701.2206
4860,410462.4221,404166.404,408294.5092,450532.7725,443463.4497,371811.5848,408616.86
4890,410475.2616,404165.3074,408309.0134,450536.8589,443517.8713,371852.6696,408532.4949
4920,410488.0924,404164.2341,408323.5193,450540.7831,443572.1534,371893.9395,408448.1257
4950,410500.9143,404163.184,408338.0269,450544.545,443626.2958,371935.3944,408363.7529
4980,410513.7275,404162.1571,408352.536,450548.1449,443680.2984,371977.034,408279.3768
5010,410526.5317,404161.1536,408367.0468,450551.5825,443734.1609,372018.8582,408194.9978
5040,410539.3271,404160.1733,408381.559,450554.858,443787.8832,372060.8667,408110.6163
5070,410552.1135,404159.2164,408396.0728,450557.9712,443841.4651,372103.0593,408026.2327
5100,410564.8909,404158.2829,408410.5879,450560.9223,443894.9063,372145.4357,407941.8475
5130,410577.6593,404157.3727,408425.1045,450563.7112,443948.2068,372187.9958,407857.4609
5160,410590.4186,404156.4859,408439.6224,450566.3379,444001.3664,372230.7392,407773.0734
5190,410603.1688,404155.6226,408454.1415,450568.8024,444054.3849,372273.6658,407688.6854
5220,410615.9099,404154.7827,408468.6619,450571.1048,444107.262,372316.7753,407604.2973
5250,410628.6418,404153.9662,408483.1835,450573.2449,444159.9977,372360.0676,407519.9095
5280,410641.3645,404153.1733,408497.7063,450575.2229,444212.5917,372403.5422,407435.5223
5310,410654.0779,404152.4039,408512.2301,450577.0387,444265.0439,372447.1992,407351.1363
5340,410666.782,404151.658,408526.755,450578.6923,444317.354,372491.0381,407266.7517
5370,410679.4768,404150.9357,408541.2809,450580.1837,444369.5221,372535.0587,407182.3689
5400,410692.1622,404150.237,408555.8078,450581.5129,444421.5477,372579.2609,407097.9885
5430,410704.8382,404149.5618,408570.3355,450582.68,444473.4309,372623.6443,407013.6107
5460,410717.5047,404148.9103,408584.8642,450583.6849,444525.1713,372668.2088,406929.236
5490,410730.1617,404148.2825,408599.3936,450584.5277,444576.7689,372712.9541,406844.8648
5520,410742.8092,404147.6783,408613.9238,450585.2083,444628.2234,372757.8799,406760.4974
5550,410755.4472,404147.0978,408628.4548,450585.7268,444679.5347,372802.986,406676.1343
5580,410768.0755,404146.541,408642.9864,450586.0831,444730.7027,372848.2723,406591.7758
5610,410780.6942,404146.0079,408657.5186,450586.2773,444781.7271,372893.7383,406507.4224
5640,410793.3032,404145.4986,408672.0514,450586.3094,444832.6077,372939.3839,406423.0745
5670,410805.9025,404145.0131,408686.5848,450586.1793,444883.3445,372985.2088,406338.7324
5700,410818.4921,404144.5514,408701.1186,450585.8872,444933.9372,373031.2128,406254.3967
5730,410831.0718,404144.1135,408715.6529,450585.433,444984.3857,373077.3957,406170.0675
5760,410843.6417,404143.6994,408730.1876,450584.8166,445034.6898,373123.7571,406085.7455
5790,410856.2018,404143.3092,408744.7226,450584.0382,445084.8494,373170.2969,406001.4309
5820,410868.7519,404142.9428,408759.2579,450583.0978,445134.8642,373217.0147,405917.1242
5850,410881.2921,404142.6004,408773.7935,450581.9953,445184.7341,373263.9104,405832.8258
5880,410893.8223,404142.2819,408788.3293,450580.7307,445234.459,373310.9837,405748.536
5910,410906.3425,404141.9873,408802.8652,450579.3041,445284.0386,373358.2342,405664.2553
5940,410918.8526,404141.7167,408817.4012,450577.7156,445333.4729,373405.6619,405579.9841
5970,410931.3526,404141.47,408831.9373,450575.965,445382.7616,373453.2663,405495.7228
6000,410943.8425,404141.2474,408846.4735,450574.0524,445431.9046,373501.0473,405411.4718
6030,410956.3222,404141.0487,408861.0096,450571.9779,445480.9017,373549.0046,405327.2315
6060,410968.7917,404140.8742,408875.5456,450569.7414,445529.7528,373597.1379,405243.0022
6090,410981.2509,404140.7236,408890.0815,450567.343,445578.4577,373645.447,405158.7845
6120,410993.6999,404140.5972,408904.6172,450564.7826,445627.0162,373693.9316,405074.5787
6150,411006.1386,404140.4948,408919.1527,450562.0604,445675.4282,373742.5915,404990.3852
6180,411018.5668,404140.4166,408933.6879,450559.1763,445723.6935,373791.4263,404906.2043
6210,411030.9847,404140.3624,408948.2229,450556.1303,445771.812,373840.4359,404822.0366
6240,411043.3922,404140.3325,408962.7574,450552.9225,445819.7835,373889.6199,404737.8825
